schcd,schname,school_cat,management,rururb,dtname,longitude,latitude
29290500606,Glps  Nagathenahalli,Primary,Department of Education,1,Chikkaballapura,77.437,13.478
29160505904,Gpuc Kodikanyana,Secondary with Higher Secondary,Department of Education,1,Udupi,74.690556,13.478056
29170623601,Lps Arunodaya,Primary,Private Unaided (Recognized),1,Chikkamangaluru,75.8075,13.478056
29290309001,Ghps Gundlagurki,Primary with Upper Primary,Department of Education,1,Chikkaballapura,77.766944,13.478056
29170803506,Glps Yarehalli,Primary,Department of Education,1,Chikkamangaluru,76.1111,13.478333
29291121001,Government Higher Primary School Palicherlu,Primary with Upper Primary,Department of Education,1,Chikkaballapura,77.906111,13.478333
29160504205,Ghps Kajke  576234,Primary with Upper Primary,Department of Education,1,Udupi,74.925145,13.478456
29290413301,Ghps Gudumarlahalli,Primary with Upper Primary,Department of Education,1,Chikkaballapura,78.111111,13.478889
29160500501,Ghps Hosala 576210 - Hosala,Primary with Upper Primary,Department of Education,1,Udupi,74.744,13.479
29170202103,Glps Chitravalli,Primary,Department of Education,1,Chikkamangaluru,75.288,13.479
29230516201,Govt.Higher Primary School Janivara,Primary with Upper Primary,Department of Education,1,Hassan,76.704,13.479
29290319902,Swami Vivekananda Hps,Primary with Upper Primary,Private Unaided (Recognized),1,Chikkaballapura,77.634,13.479
29230329901,Gulps  Satangere,Primary,Department of Education,1,Hassan,76.313433,13.479174
29160100508,Navodaya Vidyalaya Chara Hebri,Upper Pri. Secondary and Higher Sec,Jawahar Navodaya Vidyalaya,1,Udupi,74.9733,13.4793
29180110701,Glps Shrayad Hosahalli,Primary,Department of Education,1,Tumakuru,76.727,13.4793
29290511101,Ghps Kallinayakanahalli,Primary with Upper Primary,Department of Education,1,Chikkaballapura,77.514167,13.479722
29160501901,Durga Parameshwari  Ahp School Ranganakere,Primary with Upper Primary,Government Aided,1,Udupi,74.774,13.48
29170802103,Babunarendra Hs Bisalehalli,Secondary Only,Government Aided,1,Chikkamangaluru,75.965556,13.48
29170523801,Ghps  Somanahalli,Primary with Upper Primary,Department of Education,1,Chikkamangaluru,76.168,13.48
29180107201,Glps Yellana Halli,Primary,Department of Education,1,Tumakuru,76.513,13.48
29180111803,Glps Kyatanayakana Halli,Primary,Department of Education,1,Tumakuru,76.579,13.48
29180914701,Glps Thimmarajanahalli,Primary,Department of Education,1,Tumakuru,77.032,13.48
29310308301,Ghps  Channapatna,Primary with Upper Primary,Department of Education,1,Tumakuru Madhugiri,77.159,13.48
29310304701,Glps  T.Venkatapura,Primary,Department of Education,1,Tumakuru Madhugiri,77.298056,13.48
29210200504,G Lps Vaddanahalli,Primary,Department of Education,1,Bengaluru Rural,77.423333,13.48
29280600334,Gem English Hps & Hs,Pri. Upper Pri. and Secondary Only,Private Unaided (Recognized),2,Bengaluru U North,77.616944,13.48
29290320301,Glps Ragimakalahalli,Primary,Department of Education,1,Chikkaballapura,77.623611,13.48
29290316003,Manesha Primary School,Primary,Private Unaided (Recognized),1,Chikkaballapura,77.746,13.48
29210200502,G Lps Garikenahalli,Primary,Department of Education,1,Bengaluru Rural,77.410278,13.480278
29191216801,Ghps Koppuvaripalli,Primary with Upper Primary,Department of Education,1,Kolar,78.274176,13.480451
29290306605,Ghs Dibbur,Secondary Only,Department of Education,1,Chikkaballapura,77.791389,13.480556
29290422301,Ghps Kothahudya,Primary with Upper Primary,Department of Education,1,Chikkaballapura,78.149722,13.480556
29160507609,Madhavakripa English Nursery & Hps Manipal,Pri. with Upper Pri. Sec. and H.Sec.,Private Unaided (Recognized),2,Udupi,74.68889,13.48056
29240306302,Sri Subrahmanya Higher Primary School Thokur,Primary with Upper Primary,Government Aided,1,Dakshina Kannada,74.808611,13.48056
29240200401,Dkzp Govt. Higher Primary School Badakodi,Primary with Upper Primary,Department of Education,1,Dakshina Kannada,75.85833,13.48056
29320502102,G Lps Huchhanabavi,Primary,Department of Education,1,Ramanagara,77.775,13.48056
29170202201,Glps Tammadavalli,Primary,Department of Education,1,Chikkamangaluru,75.314,13.481
29170602602,Glps  Hirebidare,Primary,Department of Education,1,Chikkamangaluru,75.818,13.481
29180101301,Ghps Kankere,Primary with Upper Primary,Department of Education,1,Tumakuru,76.456,13.481
29180120803,Glps Salkatte Harijana Colony,Primary,Department of Education,1,Tumakuru,76.603,13.481
29180911201,Glps Buruadaghatta,Primary,Department of Education,1,Tumakuru,77.064,13.481
29310320801,Ghps  Tharati,Primary with Upper Primary,Department of Education,1,Tumakuru Madhugiri,77.191,13.481
29310305301,Ghps  Hanchihalli,Primary with Upper Primary,Department of Education,1,Tumakuru Madhugiri,77.241,13.481
29310304301,Glps  K.G.Kambadahalli,Primary,Department of Education,1,Tumakuru Madhugiri,77.304,13.481
29230330103,Ghs Kallusadarahally,Secondary Only,Department of Education,1,Hassan,76.261988,13.481045
29230330105,Shreyas Primary School,Primary,Private Unaided (Recognized),1,Hassan,76.26408,13.481064
29290313101,Ghps Kavaranahalli,Primary with Upper Primary,Department of Education,1,Chikkaballapura,77.733889,13.481111
29160500503,Shri Vidyesha Vidyamanya National Uhps Heradi,Primary with Upper Primary,Private Unaided (Recognized),1,Udupi,74.750833,13.481389
29290523501,Glps Basavapura,Primary,Department of Education,1,Chikkaballapura,77.519722,13.481389
29290429801,Ghps Peddur,Primary with Upper Primary,Department of Education,1,Chikkaballapura,78.182222,13.481389
29230327302,Hs Madalu,Secondary Only,Government Aided,1,Hassan,76.353624,13.481687
29230327301,Hps Madalu,Primary with Upper Primary,Department of Education,1,Hassan,76.351212,13.48194
29170802101,Ghps  Bisalehalli,Primary with Upper Primary,Department of Education,1,Chikkamangaluru,75.963889,13.481944
29191218901,Glps Kurupalli M,Primary,Department of Education,1,Kolar,78.314167,13.481944
29160500502,Shri Vidyesha Vidyamanya National Eng M Uhs Heradi,Secondary Only,Private Unaided (Recognized),1,Udupi,74.751,13.482
29160501902,Smt. Rukmini Shedthy Memorial National Ahp School Heradi,Primary with Upper Primary,Government Aided,1,Udupi,74.752,13.482
29240109506,Carmel Pre University College Modankapu,Higher Secondary only/Jr. College,Private Unaided (Recognized),2,Dakshina Kannada,75.033,13.482
29150723302,Ghps Mallanduru,Primary,Department of Education,1,Shivamogga,75.129,13.482
29160202602,P V N Ahps Ambadi - Kote,Primary with Upper Primary,Government Aided,1,Udupi,75.326,13.482
29170203504,Saraswathi Vidyasamsthe Narve,Primary,Private Unaided (Recognized),1,Chikkamangaluru,75.332,13.482
29170601804,Ghs Thogarihankal,Secondary Only,Department of Education,1,Chikkamangaluru,75.807,13.482
29170601805,Glps Tamil Hospete,Primary,Department of Education,1,Chikkamangaluru,75.807,13.482
29170523803,Glps Bm Koppalu,Primary,Department of Education,1,Chikkamangaluru,76.179,13.482
29180107102,Glps Syedsab Palya,Primary,Department of Education,1,Tumakuru,76.491,13.482
29180913501,Glps Mallenahalli,Primary,Department of Education,1,Tumakuru,76.985,13.482
29310308401,Glps  Thotadamane Grama,Primary,Department of Education,1,Tumakuru Madhugiri,77.169,13.482
29290521701,Ghps Upparahalli,Primary with Upper Primary,Department of Education,1,Chikkaballapura,77.574,13.482
